Title,Year
From Dusk Till Dawn,1996
PlayTime,1967
Black Swan,2010
The Artist,2011
The Tree of Life,2011
Holy Motors,2012
The Master,2012
Rocky,1976
Bohemian Rhapsody,2018
Us,2019
"Three Billboards Outside Ebbing, Missouri",2017
Once Upon a Time in America,1984
The Curious Case of Benjamin Button,2008
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Last Year at Marienbad,1961
Satantango,1994
Some Like It Hot,1959
Paths of Glory,1957
Kwaidan,1965
Rashomon,1950
House,1977
Yojimbo,1961
Sunset Boulevard,1950
Breakfast at Tiffany's,1961
"Spring, Summer, Fall, Winter... and Spring",2003
Unforgiven,1992
Lolita,1962
The Passenger,1975
A Few Good Men,1992
Diary of a Lost Girl,1929
Antichrist,2009
Dirty Dancing,1987
Midsommar,2019
Road House,1989
12 Angry Men,1957
City of God,2002
21 Grams,2003
Spider,2002
Death Proof,2007
The Believer,2001
The Battle Over Citizen Kane,1996
The Lives of Others,2006
The Tinder Swindler,2022
We Need to Talk About Kevin,2011
Amadeus,1984
Monster,2003
Brazil,1985
The Nightmare Before Christmas,1993
An American Crime,2007
The Sixth Sense,1999
Detours,2021
mid90s,2018
The Gods Must Be Crazy,1980
Red Post on Escher Street,2020
